safra,quinzena,quinzena_ord,tipo_secao,regiao,cana_t,acucar_t,etanol_m3,anidro_m3,hidratado_m3,fonte
2026/2027,1ª Mai,3,acumulado,Brasil,105385694,4620953,5788183,1872304,3915879,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Mai,4,acumulado,Brasil,126812508,7027505,6014448,1956572,4057876,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,2ª Mai,4,acumulado,Brasil,146992254,6813505,7973711,2681752,5291959,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Jun,5,acumulado,Brasil,165460297,9417252,7846443,2642041,5204402,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Jun,5,acumulado,Brasil,186859431,9137634,10224586,3539152,6685434,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Jun,6,acumulado,Brasil,209718253,12316632,9878061,3421980,6456081,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,2ª Jun,6,acumulado,Brasil,218735846,10760299,12036395,4258808,7777587,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Jul,7,acumulado,Brasil,259982474,15720444,12127397,4293997,7833400,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Jul,8,acumulado,Brasil,311273601,19389409,14540401,5234800,9305601,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Ago,9,acumulado,Brasil,359911344,23026890,16831086,6149948,10681138,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Ago,10,acumulado,Brasil,412140102,27003351,19418535,7149785,12268750,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Set,11,acumulado,Brasil,460414207,30726625,21910111,8060571,13849540,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Set,12,acumulado,Brasil,504176435,33961185,24270534,8937404,15333130,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Out,13,acumulado,Brasil,543142390,36764679,26528058,9780409,16747649,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Out,14,acumulado,Brasil,579769343,39193788,28681504,10610901,18070603,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Nov,15,acumulado,Brasil,603999895,40461728,30245718,11227694,19018024,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Nov,16,acumulado,Brasil,624057167,41529052,31610815,11706611,19904204,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Dez,17,acumulado,Brasil,635044808,42075157,32591699,12088316,20503383,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Dez,18,acumulado,Brasil,641066733,42398739,33349510,12402989,20946521,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Jan,19,acumulado,Brasil,645679744,42681679,33974767,12688875,21285892,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Jan,20,acumulado,Brasil,649945029,42920382,34608856,12978324,21630532,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Fev,21,acumulado,Brasil,653233688,43080739,35170952,13232940,21938012,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Fev,22,acumulado,Brasil,655531117,43210342,35643368,13436756,22206612,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Mar,23,acumulado,Brasil,658035972,43295340,36180380,13657237,22523143,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Mar,24,acumulado,Brasil,663816981,43434732,36919923,13928580,22991343,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Jul,7,quinzenal,Brasil,51373825,3202027,2546798,976346,1570452,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,2ª Jul,8,quinzenal,Brasil,46880164,3020264,2512257,934815,1577442,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Jul,7,acumulado,Brasil,270109671,13962326,14583193,5235154,9348039,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,2ª Jul,8,acumulado,Brasil,316989835,16982590,17095450,6169969,10925481,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Ago,9,quinzenal,Brasil,49596510,3343475,2465708,898807,1566901,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Ago,9,acumulado,Brasil,366586345,20326065,19561158,7068776,12492382,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
