data,preco_r$_sc50kg,preco_us$
2022-02-14,148.52,28.47
2022-02-15,149.08,28.77
2022-02-16,145.49,28.37
2022-02-17,148.23,28.68
2022-02-18,145.64,28.35
2022-02-21,144.79,28.36
2022-02-22,142.39,28.11
2022-02-23,139.34,27.85
2022-02-24,136.21,26.62
2022-02-25,132.42,25.74
2022-03-02,132.99,26.03
2022-03-03,132.99,26.03
2022-03-04,135.3,26.64
2022-03-07,134.79,26.54
2022-03-08,134.37,26.58
2022-03-09,136.52,27.24
2022-03-10,136.98,27.3
2022-03-11,136.69,27.06
2022-03-14,135.89,26.49
2022-03-15,136.51,26.49
2022-03-16,137.67,26.97
2022-03-17,138.24,27.44
2022-03-18,136.62,27.25
2022-03-21,139.33,28.14
2022-03-22,139.36,28.33
2022-03-23,139.29,28.79
2022-03-24,139.37,28.87
2022-03-25,140.0,29.47
2022-03-28,140.0,29.47
2022-03-29,140.58,29.53
2022-03-30,140.82,29.45
2022-03-31,142.86,30.01
2022-04-01,143.65,30.77
2022-04-04,143.65,30.77
2022-04-05,143.23,30.76
2022-04-06,142.41,30.17
2022-04-07,142.47,30.03
2022-04-08,141.76,30.13
2022-04-11,143.44,30.63
2022-04-12,142.26,30.41
2022-04-13,141.49,30.2
2022-04-14,141.49,30.2
2022-04-18,142.48,30.59
2022-04-19,140.99,30.17
2022-04-20,139.57,30.18
2022-04-22,139.57,30.18
2022-04-25,139.48,28.62
2022-04-26,137.12,27.48
2022-04-27,136.94,27.59
2022-04-28,135.46,27.43
2022-04-29,135.43,27.37
2022-05-02,135.11,26.66
2022-05-03,132.69,26.72
2022-05-04,134.21,27.33
2022-05-05,133.43,26.53
2022-05-06,134.38,26.49
2022-05-09,133.32,25.86
2022-05-10,132.83,25.92
2022-05-11,132.78,25.84
2022-05-12,131.21,25.5
2022-05-13,131.96,26.11
2022-05-16,131.0,25.97
2022-05-17,130.51,26.41
2022-05-18,129.86,26.04
2022-05-19,129.32,26.32
2022-05-20,130.58,26.82
2022-05-23,131.97,27.42
2022-05-24,131.8,27.34
2022-05-25,131.88,27.41
2022-05-26,130.79,27.47
2022-05-27,130.02,27.44
2022-05-30,130.68,27.51
2022-05-31,130.92,27.56
2022-06-01,130.64,27.22
2022-06-02,128.55,26.81
2022-06-03,129.84,27.14
2022-06-06,129.96,27.07
2022-06-07,129.28,26.54
2022-06-08,129.39,26.51
2022-06-09,128.79,26.22
2022-06-10,127.19,25.54
2022-06-13,127.32,24.85
2022-06-14,126.71,24.65
2022-06-15,127.1,25.29
2022-06-17,126.69,24.65
2022-06-20,126.33,24.36
2022-06-21,127.02,24.66
2022-06-22,126.17,24.4
2022-06-23,126.75,24.24
2022-06-24,127.14,24.18
2022-06-27,127.33,24.36
2022-06-28,128.02,24.31
2022-06-29,127.94,24.62
2022-06-30,127.06,24.3
2022-07-01,126.83,23.83
2022-07-04,127.64,23.97
2022-07-05,126.65,23.49
2022-07-06,126.45,23.35
2022-07-07,126.78,23.72
2022-07-08,125.98,23.93
2022-07-11,126.6,23.58
2022-07-12,126.28,23.22
2022-07-13,127.11,23.51
2022-07-14,127.51,23.46
2022-07-15,127.72,23.62
2022-07-18,131.0,24.16
2022-07-19,131.12,24.19
2022-07-20,131.99,24.17
2022-07-21,131.45,23.94
2022-07-22,131.11,23.83
2022-07-25,130.08,24.2
2022-07-26,130.16,24.31
2022-07-27,130.49,24.86
2022-07-28,131.7,25.52
2022-07-29,131.46,25.39
2022-08-01,131.5,25.36
2022-08-02,129.33,24.49
2022-08-03,128.84,24.42
2022-08-04,129.48,24.82
2022-08-05,129.61,25.08
2022-08-08,129.55,25.33
2022-08-09,129.96,25.3
2022-08-10,129.77,25.48
2022-08-11,129.94,25.17
