data,esp_long,esp_short,esp_net,com_long,com_short,com_net,idx_long,idx_short,idx_net,open_interest,produto,fonte
2024-09-17,150008,147437,2571,341749,520774,-179025,210483,34029,176454,885845,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-09-24,182413,125975,56438,368673,621152,-252479,224768,28727,196041,991992,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-10-01,207462,135466,71996,324904,592918,-268014,222690,26673,196017,985088,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-10-08,209401,159504,49897,325284,576175,-250891,225183,24191,200992,991433,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-10-15,217536,161091,56445,318130,576864,-258734,228793,26504,202289,993519,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-10-22,202644,171341,31303,330357,570912,-240555,233902,24650,209252,984815,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-10-29,200720,180794,19926,350681,581817,-231136,236494,25285,211209,1010508,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-11-05,201552,182343,19209,360291,585340,-225049,231994,26153,205841,1021437,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-11-12,182759,190014,-7255,354696,558895,-204199,242058,30604,211454,1008257,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-11-19,189145,189417,-272,369104,581090,-211986,248306,36049,212257,1032397,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-11-26,185168,189759,-4591,367057,577666,-210609,251562,36362,215200,1027600,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-12-03,186727,186789,-62,370132,588780,-218648,254784,36075,218709,1041607,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-12-10,189447,187152,2295,381633,609320,-227687,266348,40958,225390,1078053,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-12-17,167576,202312,-34736,391500,596484,-204984,282222,42503,239719,1072224,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-12-24,167330,212515,-45185,404204,588525,-184321,278706,49201,229505,1092684,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2024-12-31,165065,225501,-60436,407650,574475,-166825,281622,54361,227261,1105628,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-01-07,165242,224282,-59040,389348,558227,-168879,286043,58124,227919,1096373,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-01-14,156098,262143,-106045,430557,551777,-121220,291329,64064,227265,1147144,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-01-21,159613,299486,-139873,437047,487389,-50342,292295,102079,190216,1151601,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-01-28,161258,290180,-128922,426665,495481,-68816,307748,110010,197738,1166425,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-02-04,167177,294269,-127092,427340,497023,-69683,303952,107176,196776,1176447,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-02-11,172451,293289,-120838,419694,503273,-83579,309072,104655,204417,1182381,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-02-18,168455,271333,-102878,391768,507039,-115271,305845,87696,218149,1097488,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-02-25,169633,222904,-53271,353367,527706,-174339,309481,81870,227611,1089227,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-03-04,137183,216236,-79053,334570,469375,-134805,290367,76509,213858,1018326,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-03-11,140183,220033,-79850,345639,467457,-121818,274108,72440,201668,1005822,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-03-18,169014,210971,-41957,340013,502350,-162337,267900,63608,204292,1036250,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-03-25,186359,215590,-29231,334712,516146,-181434,271842,61177,210665,1030802,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-04-01,188717,214349,-25632,331679,514777,-183098,263271,54541,208730,1027031,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-04-08,172265,211462,-39197,365842,525299,-159457,240770,42116,198654,1002227,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-04-15,168149,213819,-45670,386680,525152,-138472,223609,39467,184142,962590,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-04-22,161989,206752,-44763,377739,512146,-134407,223060,43890,179170,942943,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-04-29,160192,206688,-46496,360858,496308,-135450,228713,46766,181947,936348,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-05-06,166137,221598,-55461,342977,461936,-118959,227230,52810,174420,928094,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-05-13,175345,220961,-45616,326620,460759,-134139,230042,50289,179753,925866,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-05-20,169896,226527,-56631,335131,459457,-124326,233883,52927,180956,933514,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-05-27,177264,238740,-61476,343648,455928,-112280,232958,59201,173757,957057,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-06-03,180719,261517,-80798,359086,450230,-91144,239772,67829,171943,1016713,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-06-10,194957,286313,-91356,381437,457345,-75908,245918,78653,167265,1057205,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-06-17,184872,290031,-105159,366799,448432,-81633,247537,60745,186792,987411,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-06-24,185643,298630,-112987,353824,429594,-75770,246683,57925,188758,976867,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-07-01,174086,307063,-132977,346991,399609,-52618,246534,60940,185594,975567,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-07-08,175192,307440,-132248,348050,398137,-50087,245341,63006,182335,985518,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-07-15,181146,303048,-121902,350312,410887,-60575,243980,61504,182476,993882,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-07-22,176410,304535,-128125,363079,417785,-54706,246014,63183,182831,999710,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-07-29,178745,303826,-125081,361428,423290,-61862,249945,63002,186943,1009667,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-08-05,170655,321659,-151004,380230,411688,-31458,251462,69001,182461,1030852,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-08-12,190768,306125,-115357,371777,434710,-62933,248478,70187,178291,1040513,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-08-19,179365,310352,-130987,383927,436551,-52624,250212,66601,183611,1038222,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-08-26,181174,313673,-132499,391778,443486,-51708,252627,68420,184207,1054063,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-09-02,170706,320465,-149759,407743,444978,-37235,255253,68259,186994,1082736,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-09-09,164690,347298,-182608,438693,429086,9607,250660,77659,173001,1107568,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-09-16,165809,316860,-151051,400330,431166,-30836,250277,68390,181887,1021095,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-09-23,157380,327254,-169874,425572,424037,1535,234348,66010,168338,1012265,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-09-30,163368,302360,-138992,390054,414279,-24225,234508,71290,163218,982005,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-10-07,164500,300353,-135853,359697,388060,-28363,238334,74119,164215,961639,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-10-14,155283,329749,-174466,393027,388436,4591,243367,73493,169874,1005143,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-10-21,146010,326830,-180820,402718,397167,5551,252647,77377,175270,1020385,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-10-28,152288,348405,-196117,423755,401506,22249,255683,81814,173869,1064597,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-11-04,152473,376367,-223894,431356,388616,42740,268808,87654,181154,1109740,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-11-10,160620,380489,-219869,427187,379812,47375,265741,93248,172493,1124833,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-11-18,152662,359681,-207019,411270,374183,37087,268568,98637,169931,1114344,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-11-25,155180,366226,-211046,413899,371610,42289,268411,99654,168757,1119501,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-12-02,157215,353672,-196457,416364,389110,27254,270357,101155,169202,1126784,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-12-09,163272,355721,-192449,407649,383726,23923,268284,99758,168526,1114061,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-12-16,159061,343243,-184182,397691,386199,11492,273529,100839,172690,1088161,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-12-23,161073,329371,-168298,392748,394241,-1493,272733,102941,169792,1089237,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2025-12-30,159544,324095,-164551,384215,396999,-12784,271649,94316,177333,1078540,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-01-06,153060,328010,-174950,395973,400952,-4979,275982,96054,179928,1101827,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-01-13,140534,330744,-190210,395407,413777,-18370,307375,98795,208580,1130938,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-01-20,137406,340574,-203168,404541,419227,-14686,318979,101126,217853,1144934,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-01-27,156257,338385,-182128,408603,438336,-29733,314128,102266,211862,1179469,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-02-03,157480,396712,-239232,448235,420195,28040,320854,109663,211191,1243607,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-02-10,179510,430953,-251443,469904,425733,44171,320888,113615,207273,1288048,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-02-17,179130,444954,-265824,458699,401965,56734,317345,108256,209089,1247362,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-02-24,182794,440657,-257863,418275,365462,52813,317831,112781,205050,1203496,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-03-03,194520,435897,-241377,401703,351294,50409,312424,121456,190968,1204635,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-03-10,205409,413295,-207886,385293,381756,3537,312488,108140,204348,1203317,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-03-17,202401,408204,-205803,387371,388966,-1595,307301,99904,207397,1173307,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-03-24,226085,329176,-103091,346781,482497,-135716,307048,68241,238807,1155009,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-03-31,215155,295827,-80672,349844,506674,-156830,299685,62183,237502,1133934,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-04-07,204336,305340,-101004,353354,491402,-138048,295639,56587,239052,1120593,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-04-14,205292,352506,-147214,415094,482896,-67802,277613,62597,215016,1146235,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-04-21,214338,370476,-156138,410406,445477,-35071,279584,88376,191208,1158960,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-04-28,248909,377412,-128503,373362,429208,-55846,278381,94030,184351,1153429,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-05-05,256239,343528,-87289,340516,473793,-133277,319756,99190,220566,1191826,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-05-12,240300,333290,-92990,340826,475186,-134360,323331,95981,227350,1183981,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-05-19,241109,332879,-91770,340411,488585,-148174,333401,93457,239944,1187801,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-05-26,223909,335447,-111538,345695,483181,-137486,340147,91122,249025,1182651,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-06-02,218874,353978,-135104,359950,456402,-96452,325948,94392,231556,1187070,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-06-09,230200,362296,-132096,381181,470403,-89222,312420,91103,221317,1202562,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-06-16,229400,371574,-142174,377719,443643,-65924,300281,92183,208098,1153487,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-06-23,235215,383798,-148583,378898,420748,-41850,289642,99210,190432,1159845,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-06-30,271314,363804,-92490,350106,443964,-93858,287225,100876,186349,1164400,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-07-07,282203,339732,-57529,330897,470330,-139433,304419,107458,196961,1187827,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-07-14,281004,349300,-68296,345545,479336,-133791,302699,100612,202087,1180502,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-07-21,265174,352246,-87072,345055,479340,-134285,318743,97385,221358,1192719,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-07-28,263445,383126,-119681,363301,462579,-99278,315161,96202,218959,1203654,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-08-04,282359,374190,-91831,358225,489695,-131470,325343,102042,223301,1252623,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2026-08-11,342072,317015,25057,353846,642741,-288895,360937,97098,263839,1424802,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
