data,vencimento,ajuste,volume,contratos_aberto,fonte_cid
2025-11-17,ETHc1,2942.5,25.0,,964525
2025-11-14,ETHc1,2949.5,26.0,,964525
2025-11-13,ETHc1,2948.0,20.0,,964525
2025-11-12,ETHc1,2933.0,138.0,,964525
2025-11-11,ETHc1,2937.5,29.0,,964525
2025-11-10,ETHc1,2933.0,11.0,,964525
2025-11-07,ETHc1,2931.5,1.0,,964525
2025-11-06,ETHc1,2938.0,75.0,,964525
2025-11-05,ETHc1,2912.5,56.0,,964525
2025-11-04,ETHc1,2917.0,29.0,,964525
2025-11-03,ETHc1,2919.0,70.0,,964525
2025-10-31,ETHc1,2886.0,49.0,,964525
2025-10-30,ETHc1,2886.0,49.0,,964525
2025-10-29,ETHc1,2848.0,74.0,,964525
2025-10-28,ETHc1,2848.0,,,964525
2025-10-27,ETHc1,2856.0,52.0,,964525
2025-10-25,ETHc1,2849.5,120.0,,964525
2025-10-24,ETHc1,2849.5,120.0,,964525
2025-10-23,ETHc1,2843.5,10.0,,964525
2025-10-22,ETHc1,2843.5,,,964525
2025-10-21,ETHc1,2843.5,,,964525
2025-10-20,ETHc1,2843.5,79.0,,964525
2025-10-18,ETHc1,2843.5,123.0,,964525
2025-10-17,ETHc1,2843.5,123.0,,964525
2025-10-16,ETHc1,2843.5,120.0,,964525
2025-10-15,ETHc1,2840.5,2.0,,964525
2025-10-14,ETHc1,2839.5,2.0,,964525
2025-10-13,ETHc1,2842.0,15.0,,964525
2025-10-11,ETHc1,2838.0,53.0,,964525
2025-10-10,ETHc1,2838.0,53.0,,964525
2025-10-09,ETHc1,2857.0,155.0,,964525
2025-10-08,ETHc1,2839.0,70.0,,964525
2025-10-07,ETHc1,2849.0,52.0,,964525
2025-10-06,ETHc1,2846.0,2.0,,964525
2025-10-04,ETHc1,2833.5,5.0,,964525
2025-10-03,ETHc1,2833.5,5.0,,964525
2025-10-02,ETHc1,2846.5,43.0,,964525
2025-10-01,ETHc1,2846.5,41.0,,964525
2025-09-30,ETHc1,2830.5,,,964525
2025-09-29,ETHc1,2830.5,,,964525
2025-09-26,ETHc1,2830.5,,,964525
2025-09-25,ETHc1,2830.5,,,964525
2025-09-24,ETHc1,2840.5,40.0,,964525
2025-09-23,ETHc1,2840.5,20.0,,964525
2025-09-22,ETHc1,2840.5,1.0,,964525
2025-09-21,ETHc1,2840.5,30.0,,964525
2025-09-20,ETHc1,2840.5,30.0,,964525
2025-09-19,ETHc1,2840.5,,,964525
2025-09-18,ETHc1,2840.5,30.0,,964525
2025-09-17,ETHc1,2860.0,12.0,,964525
2025-09-16,ETHc1,2860.0,42.0,,964525
2025-09-15,ETHc1,2860.0,3.0,,964525
2025-09-12,ETHc1,2860.0,72.0,,964525
2025-09-11,ETHc1,2860.0,74.0,,964525
2025-09-10,ETHc1,2885.5,2.0,,964525
2025-09-09,ETHc1,2885.5,29.0,,964525
2025-09-08,ETHc1,2885.5,,,964525
2025-09-06,ETHc1,2885.5,1.0,,964525
2025-09-05,ETHc1,2885.5,1.0,,964525
2025-09-04,ETHc1,2885.5,,,964525
2025-09-03,ETHc1,2885.5,20.0,,964525
2025-09-02,ETHc1,2885.5,,,964525
2025-09-01,ETHc1,2885.5,,,964525
2025-08-30,ETHc1,2885.5,10.0,,964525
2025-08-29,ETHc1,2815.0,,,964525
2025-08-28,ETHc1,2795.5,10.0,,964525
2025-08-27,ETHc1,2795.5,52.0,,964525
2025-08-26,ETHc1,2784.5,55.0,,964525
2025-08-25,ETHc1,2784.5,22.0,,964525
2025-08-22,ETHc1,2788.5,107.0,,964525
2025-08-21,ETHc1,2789.0,119.0,,964525
2025-08-20,ETHc1,2777.5,278.0,,964525
2025-08-19,ETHc1,2759.0,93.0,,964525
2025-08-18,ETHc1,2752.5,225.0,,964525
2025-08-15,ETHc1,2750.0,51.0,,964525
2025-08-14,ETHc1,2752.0,195.0,,964525
2025-08-13,ETHc1,2758.5,35.0,,964525
2025-08-12,ETHc1,2745.5,49.0,,964525
2025-08-11,ETHc1,2745.5,17.0,,964525
2025-08-08,ETHc1,2767.5,30.0,,964525
2025-08-07,ETHc1,2767.5,25.0,,964525
2025-08-06,ETHc1,2767.5,,,964525
2025-08-05,ETHc1,2775.0,55.0,,964525
2025-08-04,ETHc1,2772.0,25.0,,964525
2025-08-01,ETHc1,2794.0,290.0,,964525
2025-07-31,ETHc1,2715.0,,,964525
2025-07-30,ETHc1,2719.0,,,964525
2025-07-29,ETHc1,2720.0,,,964525
2025-07-28,ETHc1,2704.0,1.0,,964525
2025-07-26,ETHc1,2686.5,1.0,,964525
2025-07-25,ETHc1,2686.5,1.0,,964525
2025-07-24,ETHc1,2686.0,1.0,,964525
2025-07-23,ETHc1,2641.5,152.0,,964525
2025-07-22,ETHc1,2670.5,,,964525
2025-07-21,ETHc1,2668.5,7.0,,964525
2025-07-18,ETHc1,2683.5,3.0,,964525
2025-07-17,ETHc1,2672.0,150.0,,964525
2025-07-16,ETHc1,2660.0,110.0,,964525
2025-07-15,ETHc1,2660.0,3.0,,964525
2025-07-14,ETHc1,2650.0,178.0,,964525
2025-07-11,ETHc1,2630.0,41.0,,964525
2025-07-10,ETHc1,2638.5,100.0,,964525
2025-07-09,ETHc1,2620.5,,,964525
2025-07-08,ETHc1,2620.5,99.0,,964525
2025-07-07,ETHc1,2665.0,,,964525
2025-07-04,ETHc1,2665.0,,,964525
2025-07-03,ETHc1,2665.0,,,964525
2025-07-02,ETHc1,2691.0,35.0,,964525
2025-07-01,ETHc1,2697.0,115.0,,964525
2025-06-30,ETHc1,2718.0,,,964525
2025-06-28,ETHc1,2717.5,,,964525
2025-06-27,ETHc1,2717.5,,,964525
2025-06-26,ETHc1,2717.5,,,964525
2025-06-25,ETHc1,2717.5,30.0,,964525
2025-06-24,ETHc1,2717.5,18.0,,964525
2025-06-23,ETHc1,2689.5,,,964525
2025-06-21,ETHc1,2689.5,26.0,,964525
2025-06-20,ETHc1,2689.5,,,964525
2025-06-18,ETHc1,2689.5,26.0,,964525
2025-06-17,ETHc1,2670.0,18.0,,964525
2025-06-16,ETHc1,2665.0,23.0,,964525
2025-06-14,ETHc1,2665.0,,,964525
2025-06-13,ETHc1,2665.0,,,964525
2025-06-12,ETHc1,2665.0,,,964525
2025-06-11,ETHc1,2665.0,,,964525
2025-06-10,ETHc1,2609.5,,,964525
2025-06-09,ETHc1,2609.5,,,964525
2025-06-07,ETHc1,2609.5,100.0,,964525
2025-06-06,ETHc1,2609.5,100.0,,964525
2025-06-05,ETHc1,2609.5,,,964525
2025-06-04,ETHc1,2609.5,165.0,,964525
2025-06-03,ETHc1,2609.5,20.0,,964525
2025-06-02,ETHc1,2609.5,91.0,,964525
2025-05-30,ETHc1,2705.0,,,964525
2025-05-29,ETHc1,2758.0,,,964525
2025-05-28,ETHc1,2758.0,,,964525
2025-05-27,ETHc1,2758.0,,,964525
2025-05-26,ETHc1,2758.0,26.0,,964525
2025-05-24,ETHc1,2758.0,,,964525
2025-05-23,ETHc1,2758.0,,,964525
2025-05-22,ETHc1,2758.0,,,964525
2025-05-21,ETHc1,2758.0,,,964525
2025-05-20,ETHc1,2758.0,24.0,,964525
2025-05-19,ETHc1,2757.5,,,964525
2025-05-17,ETHc1,2757.5,,,964525
2025-05-16,ETHc1,2757.5,,,964525
2025-05-15,ETHc1,2757.5,,,964525
2025-05-14,ETHc1,2775.0,,,964525
2025-05-13,ETHc1,2731.0,167.0,,964525
2025-05-12,ETHc1,2704.5,5.0,,964525
2025-05-09,ETHc1,2704.5,101.0,,964525
2025-05-08,ETHc1,2681.0,,,964525
2025-05-07,ETHc1,2659.0,,,964525
2025-05-06,ETHc1,2659.0,20.0,,964525
2025-05-05,ETHc1,2659.0,71.0,,964525
2025-05-02,ETHc1,2659.0,5.0,,964525
2025-04-30,ETHc1,2807.0,303.0,,964525
2025-04-29,ETHc1,2811.0,152.0,,964525
2025-04-28,ETHc1,2790.5,29.0,,964525
2025-04-25,ETHc1,2771.0,61.0,,964525
2025-04-24,ETHc1,2798.0,66.0,,964525
2025-04-23,ETHc1,2809.5,225.0,,964525
2025-04-22,ETHc1,2748.5,137.0,,964525
2025-04-17,ETHc1,2748.5,97.0,,964525
2025-04-16,ETHc1,2770.0,2.0,,964525
2025-04-15,ETHc1,2770.0,159.0,,964525
2025-04-14,ETHc1,2770.0,53.0,,964525
2025-04-11,ETHc1,2773.5,2.0,,964525
2025-04-10,ETHc1,2773.5,64.0,,964525
2025-04-09,ETHc1,2785.0,72.0,,964525
2025-04-08,ETHc1,2805.5,56.0,,964525
2025-04-07,ETHc1,2833.5,,,964525
2025-04-04,ETHc1,2833.5,,,964525
2025-04-03,ETHc1,2843.0,,,964525
2025-04-02,ETHc1,2851.5,5.0,,964525
2025-04-01,ETHc1,2851.5,17.0,,964525
2025-03-31,ETHc1,2834.0,15.0,,964525
2025-03-28,ETHc1,2832.5,,,964525
2025-03-27,ETHc1,2832.5,,,964525
2025-03-26,ETHc1,2827.0,,,964525
2025-03-25,ETHc1,2812.5,165.0,,964525
2025-03-24,ETHc1,2875.0,,,964525
2025-03-21,ETHc1,2875.0,70.0,,964525
2025-03-20,ETHc1,2875.0,5.0,,964525
2025-03-19,ETHc1,2875.0,18.0,,964525
2025-03-18,ETHc1,2887.0,26.0,,964525
2025-03-17,ETHc1,2897.5,1.0,,964525
2025-03-14,ETHc1,2911.0,,,964525
2025-03-13,ETHc1,2911.0,16.0,,964525
2025-03-12,ETHc1,2911.0,,,964525
2025-03-11,ETHc1,2911.0,,,964525
2025-03-10,ETHc1,2917.0,31.0,,964525
2025-03-07,ETHc1,2930.0,30.0,,964525
2025-03-06,ETHc1,2954.5,,,964525
2025-03-05,ETHc1,2954.5,,,964525
2025-02-27,ETHc1,2943.5,,,964525
2025-02-26,ETHc1,2948.5,,,964525
2025-02-25,ETHc1,2957.0,5.0,,964525
2025-02-24,ETHc1,2957.0,,,964525
2025-02-21,ETHc1,2957.0,2.0,,964525
2025-02-20,ETHc1,2969.0,,,964525
2025-02-19,ETHc1,2969.0,,,964525
2025-02-18,ETHc1,2972.0,,,964525
2025-02-17,ETHc1,2972.0,,,964525
2025-02-14,ETHc1,2972.0,,,964525
2025-02-13,ETHc1,2972.0,,,964525
2025-02-12,ETHc1,2972.0,62.0,,964525
2025-02-11,ETHc1,2972.0,12.0,,964525
2025-02-10,ETHc1,2972.0,32.0,,964525
2025-02-07,ETHc1,2974.0,28.0,,964525
2025-02-06,ETHc1,2986.0,,,964525
2025-02-05,ETHc1,2986.0,75.0,,964525
2025-02-04,ETHc1,2986.0,74.0,,964525
2025-02-03,ETHc1,2986.0,29.0,,964525
2025-01-31,ETHc1,2929.5,,,964525
2025-01-30,ETHc1,2925.5,124.0,,964525
2025-01-29,ETHc1,2908.5,91.0,,964525
2025-01-28,ETHc1,2898.0,20.0,,964525
2025-01-27,ETHc1,2923.5,124.0,,964525
2025-01-24,ETHc1,2903.0,30.0,,964525
2025-01-23,ETHc1,2903.0,101.0,,964525
2025-01-22,ETHc1,2903.0,65.0,,964525
2025-01-21,ETHc1,2903.0,15.0,,964525
2025-01-20,ETHc1,2902.5,225.0,,964525
2025-01-17,ETHc1,2905.0,145.0,,964525
2025-01-16,ETHc1,2882.5,136.0,,964525
2025-01-15,ETHc1,2882.5,,,964525
2025-01-14,ETHc1,2858.0,76.0,,964525
2025-01-13,ETHc1,2858.0,246.0,,964525
2025-01-10,ETHc1,2858.0,73.0,,964525
2025-01-09,ETHc1,2858.0,2.0,,964525
2025-01-08,ETHc1,2858.0,294.0,,964525
2025-01-07,ETHc1,2815.0,67.0,,964525
2025-01-06,ETHc1,2797.5,67.0,,964525
2025-01-03,ETHc1,2786.5,35.0,,964525
2025-01-02,ETHc1,2786.5,30.0,,964525
2024-12-30,ETHc1,2745.5,,,964525
2024-12-27,ETHc1,2748.0,18.0,,964525
2024-12-26,ETHc1,2748.0,18.0,,964525
2024-12-23,ETHc1,2750.5,122.0,,964525
